image_id,status,quality,rotation,orientation,n_patches,L_slope,L_intercept,L_r2,a_slope,a_intercept,a_r2,b_slope,b_intercept,b_r2,dE_before,dE_after,note
IMG_1909,calibrated,good,0°,4x6,24,0.94345,11.82568,0.9772,0.8319,-0.14661,0.9805,0.94759,-1.31789,0.9921,11.759,4.455,
IMG_2201,calibrated,good,0°,4x6,22,1.04188,20.8865,0.9775,1.07377,-1.19984,0.9824,1.07006,2.26354,0.9929,22.845,4.549,
IMG_2230,calibrated,good,0°,4x6,21,1.11257,22.2377,0.9841,1.14784,-2.17073,0.9824,1.13927,2.25314,0.9923,26.345,4.551,
IMG_2191,calibrated,good,0°,4x6,22,1.04975,20.53337,0.9815,1.06766,-1.99133,0.9813,1.06518,1.89629,0.9921,22.82,4.585,
IMG_2243,calibrated,good,0°,4x6,22,1.05156,20.89786,0.9837,1.07941,-2.06199,0.9811,1.07004,2.13039,0.9923,23.245,4.585,
IMG_2259,calibrated,good,0°,4x6,21,1.10042,22.15476,0.9837,1.13128,-1.81275,0.9814,1.12819,2.14634,0.9923,25.9,4.589,
IMG_2429,calibrated,good,0°,4x6,21,1.15403,23.99339,0.9866,1.20003,-1.84243,0.9821,1.20479,2.08615,0.9917,29.067,4.597,
IMG_1973,calibrated,good,0°,4x6,21,1.12492,23.42554,0.9824,1.16459,-1.85667,0.9816,1.16689,2.19598,0.9922,27.75,4.6,
IMG_2188,calibrated,good,0°,4x6,21,1.08952,21.31083,0.9795,1.1066,-1.98639,0.9816,1.10177,2.51299,0.9925,24.812,4.603,
IMG_2236,calibrated,good,0°,4x6,22,1.01448,19.9233,0.9785,1.03792,-1.35847,0.9817,1.02978,1.80818,0.992,21.049,4.607,
IMG_2269,calibrated,good,0°,4x6,21,1.11634,22.50962,0.9842,1.15157,-1.80219,0.9816,1.14603,2.24188,0.9919,26.702,4.607,
IMG_1992,calibrated,good,0°,4x6,22,1.04835,21.38348,0.9823,1.07688,-1.90988,0.9814,1.07692,1.69222,0.9915,23.572,4.616,
IMG_1974,calibrated,good,0°,4x6,21,1.10619,22.95074,0.9817,1.14387,-1.5848,0.9813,1.14536,2.18986,0.9922,26.793,4.619,
IMG_2195,calibrated,good,0°,4x6,21,1.08808,21.44592,0.9803,1.11503,-2.13964,0.9809,1.1008,2.51758,0.9927,24.914,4.62,
IMG_2194,calibrated,good,0°,4x6,21,1.09845,21.4,0.9814,1.11634,-2.21609,0.9811,1.10701,2.56606,0.9926,25.184,4.622,
IMG_2255,calibrated,good,0°,4x6,21,1.08633,22.06118,0.9836,1.1148,-2.14755,0.9808,1.10989,2.20156,0.9915,25.423,4.622,
IMG_2176,calibrated,good,0°,4x6,21,1.1085,21.83228,0.9808,1.13385,-2.15355,0.9812,1.12194,2.51479,0.9924,25.865,4.623,
IMG_2190,calibrated,good,0°,4x6,22,1.05681,20.92549,0.9811,1.07906,-2.01839,0.981,1.07271,2.25069,0.9922,23.425,4.629,
IMG_2248,calibrated,good,0°,4x6,21,1.14123,23.17203,0.9837,1.18052,-2.25808,0.9805,1.1739,2.2777,0.9921,27.987,4.629,
IMG_2449,calibrated,good,0°,4x6,21,1.11798,22.40797,0.9739,1.16008,-1.63603,0.9827,1.1556,1.96528,0.9926,26.621,4.629,
IMG_1968,calibrated,good,0°,4x6,21,1.13548,23.6049,0.9825,1.17183,-1.86367,0.9805,1.17789,2.19725,0.9921,28.208,4.637,
IMG_2197,calibrated,good,0°,4x6,21,1.10177,21.83998,0.9828,1.12547,-2.09203,0.9801,1.11681,2.51277,0.9923,25.683,4.638,
IMG_2437,calibrated,good,0°,4x6,21,1.13364,22.75236,0.9808,1.16643,-2.07391,0.9828,1.16517,1.98654,0.9921,27.369,4.638,
IMG_2262,calibrated,good,0°,4x6,21,1.07558,21.9792,0.9818,1.1071,-2.10671,0.9807,1.10149,2.15065,0.9919,25.001,4.64,
IMG_1960,calibrated,good,0°,4x6,21,1.09315,22.4926,0.9803,1.12306,-2.00638,0.9811,1.12603,1.936,0.9915,25.984,4.641,
IMG_2177,calibrated,good,0°,4x6,21,1.12267,22.32954,0.982,1.1507,-2.03509,0.9815,1.14285,2.49284,0.9922,26.704,4.642,
IMG_2180,calibrated,good,0°,4x6,21,1.10174,21.79287,0.9821,1.12716,-2.12846,0.9818,1.12102,2.10691,0.992,25.613,4.644,
IMG_2234,calibrated,good,0°,4x6,21,1.08431,21.33344,0.9805,1.10539,-2.06533,0.9818,1.0983,2.08716,0.992,24.68,4.648,
IMG_2257,calibrated,good,0°,4x6,21,1.10544,22.50505,0.9852,1.13608,-2.11839,0.9802,1.13347,2.21476,0.9917,26.393,4.648,
IMG_2178,calibrated,good,0°,4x6,21,1.14036,22.69013,0.9833,1.16959,-2.21616,0.9808,1.16071,2.58977,0.9923,27.545,4.65,
IMG_2435,calibrated,good,0°,4x6,21,1.09804,21.97623,0.9769,1.12451,-2.06455,0.9821,1.12253,2.0631,0.9927,25.638,4.651,
IMG_2184,calibrated,good,0°,4x6,21,1.11345,22.41338,0.9808,1.14661,-2.21608,0.9818,1.13915,2.29424,0.9921,26.512,4.652,
IMG_2263,calibrated,good,0°,4x6,21,1.14313,23.22488,0.9852,1.18163,-2.17687,0.9806,1.17986,2.26135,0.9924,28.106,4.653,
IMG_2436,calibrated,good,0°,4x6,21,1.17683,23.92853,0.9821,1.21855,-2.20516,0.9814,1.2162,2.22204,0.9924,29.593,4.657,
IMG_1972,calibrated,good,0°,4x6,21,1.05738,21.56935,0.9793,1.08093,-1.77374,0.9813,1.08111,2.02585,0.9913,24.053,4.659,
IMG_2261,calibrated,good,0°,4x6,21,1.13771,23.36955,0.9852,1.17441,-2.18762,0.9799,1.17091,2.51069,0.9921,28.087,4.661,
IMG_1967,calibrated,good,0°,4x6,21,1.13476,23.80072,0.9822,1.1761,-1.90356,0.9806,1.17987,2.23067,0.9919,28.357,4.663,
IMG_2196,calibrated,good,0°,4x6,21,1.18449,23.68401,0.9845,1.2228,-2.18768,0.9809,1.211,2.68147,0.9926,29.604,4.663,
IMG_2240,calibrated,good,0°,4x6,21,1.10909,22.59335,0.9846,1.14193,-2.14932,0.9805,1.13682,2.30634,0.9918,26.591,4.663,
IMG_1902,calibrated,good,0°,4x6,21,1.07615,22.25245,0.9717,1.13192,-1.38307,0.9828,1.12262,1.84027,0.9933,25.235,4.667,
