column,data_type,descriptor
image_ID,Character,"Unique identifier for each image, assigned by camera at time of capture (e.g. IMG_1643). "
date,Date,Date of image capture. All sampling conducted over three consecutive days in April 2024.
section,Categorical,"Named section within the farm. Each section contains multiple tanks sharing a common pump shed."
tank,Categorical,Individual grow-out tank identifier. Multiple abalone sampled per tank
abalone_number,Ordinal,Sequential identifier of each abalone sampled within a tank. Used together with tank to construct a unique abalone_id.
age,Categorical,Approximate age of abalone at time of sampling in months.
diet,Categorical,Numerical identifier assigned to each diet to anonymous commercial supplier.
section_coverage,Categorical,Shade cloth classification directly above abalone. Single = one layer; double = two layers.
length_mm,Continious,"Maximum shell length of the abalone measured using python script ""abalone_morphometrics"""
width_mm,Continious,"Maximum shell width measured using python script ""abalone_morphometrics"""
area_mm2,Continious,"Projected shell area measured using python script ""abalone_morphometrics"""
weight_g,"grams, g",Abalone weight. Derived from length using a pre-established weight-length relationship W =0.000102572*L^3.05321
lightness,Continuous,"Raw L* value extracted from the abalone lip in Fiji using the CIELAB colour model, prior to colour card correction. L* = 0 (black) to 100 (white). Data extracted using Macro script ""colour_components""."
a,Continuous,"Raw a* value extracted from the lip in Fiji using the CIELAB colour model, prior to colour card correction. a* = -128 (green) to 128 (red). Data extracted using Macro script ""colour_components""."
b,Continuous,"Raw b* value extracted from the lip in Fiji using the CIELAB colour model. b* = -128 (blue) to 128 (yellow). Data extracted using Macro script ""colour_components""."
L_slope,Continuous,"Slope of the linear regression between observed L* values of the colour calibration card and their known reference L* values. Used to correct raw L* measurements. Calibration performed using Python script ""colour_correction_factors""."
L_intercept,Continuous,"Intercept of the linear regression for L* colour calibration. Used to correct raw L* measurements. Calibration performed using Python script ""colour_correction_factors""."
L_r2,Continuous,"R² of the L* calibration regression. Calibration performed using Python script ""colour_correction_factors""."
a_slope,Continuous,"Slope of the linear regression between observed a* values of the colour calibration card  and their known reference a* values. Used to correct raw a* measurements. Calibration performed using Python script ""colour_correction_factors""."
a_intercept,Continuous,"Intercept of the linear regression for a* colour calibration. Used to correct raw a* measurements. Calibration performed using Python script ""colour_correction_factors""."
a_r2,Continuous,"R² of the a* calibration regression. Calibration performed using Python script ""colour_correction_factors""."
b_slope,Continuous,"Slope of the linear regression between observed b* values of the colour calibration card  and their known reference b* values. Used to correct raw b* measurements. Calibration performed using Python script ""colour_correction_factors""."
b_intercept,Continuous,"Intercept of the linear regression for b* colour calibration. Used to correct raw b* measurements. Calibration performed using Python script ""colour_correction_factors""."
b_r2,Continuous,"R² of the b* calibration regression. Calibration performed using Python script ""colour_correction_factors""."
lightness_corrected,Continuous,"Calibration-corrected L* value used in modelling. Derived by applying the per-image L* regression (L_slope, L_intercept) to the raw L* measurement. Higher values indicate lighter abalone."
a_corrected,Continuous,Calibration-corrected a* value used in modelling. Derived by applying the per-image a* regression to the raw a* measurement. Higher a* values indicate more red abalone.
b_corrected,Continuous,Calibration-corrected b* value used in modelling. Derived by applying the per-image b* regression to the raw b* measurement. Higher b* values indicate more yellow abalone.
chroma,Continuous,Measure of colour intensity calculated from sqrt((a*^2) + (b*^2)
